Treatment,Mom,Ind,Weight,Develpomental_Stage,Sex,TBP,RPLP,11bHSD1,11bHSD2,PLII,Phlda2,Tpbpa,GR,IGF2,IGF2-R,log11bHSD1,log11bHSD2,logPLII,logPhlda2,logTpbpa,logGR
Stress,139,E,0.1782,23,F,0.826606542,0.566383601,0.758898615,1.256195716,1.065276109,0.566383601,0.017222541,1.253967917,,,-0.11981624,0.099057308,0.027462187,-0.24688933,-1.763902773,0.098286425
Stress,139,F,0.1266,21,F,1.098300386,1.245321345,0.210512684,0.915349489,0.310190716,1.245321345,0.46023475,0.682941434,,,-0.676721732,-0.038413057,-0.508371205,0.095281432,-0.337020593,-0.165616538
Stress,139,G,0.156,22,F,0.687106683,0.990698564,0.519542041,1.051460452,1.065276109,0.990698564,1.050038207,0.782683229,,,-0.284379304,0.021792942,0.027462187,-0.004058467,0.021205102,-0.106413972
Stress,139,H,0.1416,22,F,0.926763215,1.081613252,0.301343127,1.153934435,0.64859692,1.081613252,0.814851173,0.825877915,,,-0.520938709,0.062181133,-0.188025118,0.034072,-0.088921705,-0.083084147
Stress,147,A,0.0331,15,F,0.859720345,1.572635942,0.429375685,0.525123229,0.506825404,1.572635942,0.306815192,0.380200878,,,-0.367162553,-0.27973877,-0.295141625,0.196628197,-0.51312314,-0.419986885
Stress,147,B,,14,F,1.288125078,1.214069826,0.093340418,1.091058094,0.562357996,1.214069826,1.141113127,0.558579205,,,-1.029930259,0.037847875,-0.249987125,0.084243665,0.057328701,-0.252915236
Stress,147,C,0.0462,15,M,1.479667158,1.598277665,0.071148594,0.645010516,0.217822881,1.598277665,0.252107071,0.493629472,,,-1.147833678,-0.190433205,-0.661896502,0.20365223,-0.598414973,-0.306598919
Stress,147,D,0.0308,15,F,0.566549017,1.474117372,1.650396196,0.579639542,0.315066312,1.474117372,0.462099411,0.413416279,,,0.217588214,-0.236841995,-0.501598031,0.168532064,-0.335264585,-0.383612426
Stress,147,E,0.0381,15,F,1.131789784,1.547405599,0.050542672,0.754745029,0.140914705,1.547405599,0.301196134,0.512219389,,,-1.296341802,-0.122199739,-0.851043684,0.189604164,-0.521150607,-0.290543986
Stress,147,F,,15,M,0.204514167,0.405147197,0.459396701,0.707055118,0.620023188,0.405147197,0.467468748,0.450313126,,,-0.337812128,-0.15054673,-0.207592068,-0.392387161,-0.330247418,-0.346485394
Stress,148,A,0.1386,23,F,0.949521575,1.178145781,0.40062168,0.862977343,0.481706872,1.178145781,0.690370069,1.033950489,,,-0.397265552,-0.064000606,-0.317217158,0.071199032,-0.160918046,0.014499743
Stress,148,B,0.1417,23,M,1.419391613,1.15924438,0.838168612,1.112697363,0.630496708,1.15924438,1.184087058,0.819699546,,,-0.076668607,0.046377059,-0.200317177,0.064174999,0.073383634,-0.086345305
Stress,148,C,0.1385,22,M,1.328936975,0.888751133,0.606177581,1.673916915,0.505947903,0.888751133,0.64005827,1.250351541,,,-0.21740013,0.223733898,-0.2958942,-0.051219833,-0.193780487,0.097032134
Stress,148,D,0.1091,22,NA,1.041458982,1.356464601,0.405745144,1.998699046,0.268481405,1.356464601,0.281350771,0.766575841,,,-0.391746669,0.300747405,-0.571085788,0.132408465,-0.55075189,-0.115444872
Stress,148,E,0.1364,23,M,0.791104045,0.943777096,0.273948967,1.989484402,0.470161206,0.943777096,0.452851044,1.054457126,,,-0.562330333,0.298740539,-0.327753208,-0.025130567,-0.344044627,0.023028926
Stress,148,F,0.1238,23,F,1.472845417,1.310258437,0.524365885,1.07728098,0.53882701,1.310258437,0.958450053,0.688486579,,,-0.280365571,0.032328992,-0.268550642,0.117356965,-0.018430514,-0.162104521
Stress,148,G,0.125,22,F,0.890038318,1.183602569,0.515357593,0.839379182,0.545087879,1.183602569,0.851911315,0.78177956,,,-0.287891321,-0.076041806,-0.263533475,0.073205899,-0.069605613,-0.106915689
Stress,148,H,0.1172,23,F,0.828518617,1.138013811,0.227979984,1.162632053,0.372736346,1.138013811,0.565961239,0.801903443,,,-0.642103281,0.065442292,-0.428598257,0.056147533,-0.247213311,-0.095877922
Stress,148,I,0.1471,23,F,0.743260247,1.114593825,0.469863108,0.927055696,0.842584965,1.114593825,1.158379913,0.794526423,,,-0.328028653,-0.032894173,-0.074386295,0.047116633,0.063851018,-0.099891655
Control,149,A,0.1643,23,F,1.199089507,0.905331505,0.454382465,1.615963473,0.493536062,0.905331505,0.753724132,1.356448027,,,-0.342578437,0.20843154,-0.306681109,-0.043192366,-0.12278758,0.132403158
Control,149,B,0.183,23,F,1.267459241,1.074142003,0.484749865,1.182954503,0.617521274,1.074142003,0.948536475,1.253967917,,,-0.314482303,0.072968042,-0.209348076,0.031061699,-0.022945964,0.098286425
Control,149,C,,23,F,1.227116895,1.081613252,1.009503375,1.067370656,1.25083724,1.081613252,1.772077652,1.063018794,,,0.004107775,0.028315259,0.097200803,0.034072,0.248482749,0.026540943
Control,149,D,0.1985,23,F,1.380578275,0.274178003,1.37902225,1.991784072,1.426909738,0.274178003,1.03319208,2.113792513,,,0.139571273,0.299242255,0.154396502,-0.561967391,0.014181068,0.325062355
Control,149,E,0.2118,23,M,2.851931546,0.808424378,1.34908296,1.723961936,1.045766488,0.808424378,0.788459464,1.089123159,,,0.130038657,0.236527673,0.019434721,-0.092360599,-0.10322063,0.037076993
Control,149,F1,0.1917,23,F,1.231377136,0.799138832,1.071386533,1.972321294,1.447664618,0.799138832,1.956048068,1.209156042,,,0.029946183,0.294977664,0.16066796,-0.097377765,0.291379523,0.08248235
Control,149,F2,,,F,1.117498339,0.866447795,2.175196498,0.822580012,0.972920668,0.866447795,1.550723879,1.006258128,,,0.337498495,-0.084821848,-0.011922571,-0.062257599,0.190534474,0.002709401
Control,149,G,0.1791,23,M,1.060888243,0.99299021,1.33358742,0.839379182,0.777129757,0.99299021,0.834379234,0.947042081,,,0.12502149,-0.076041806,-0.109506461,-0.003055033,-0.078636513,-0.023630723
Control,149,H,0.1835,23,F,2.216995774,1.135387476,0.908764931,0.775067889,0.877351834,1.135387476,1.280856178,0.846647755,,,-0.041548441,-0.110660256,-0.056826212,0.055144099,0.107500367,-0.072297239
Stress,154,A,0.084,19,M,0.920361594,1.414067903,2.9577,0.895994173,0.94195328,1.414067903,2.123251335,0.656257436,,,0.470954121,-0.047694815,-0.025970637,0.150470265,0.327001406,-0.182925763
Stress,154,B,0.0555,18,F,0.687106683,1.359602323,0.225882707,0.927055696,0.321500765,1.359602323,0.419121903,0.557934282,,,-0.646117016,-0.032894173,-0.492817989,0.133411898,-0.377659643,-0.253416953
Stress,154,C,0.0907,20,F,1.15024354,1.316327128,0.358152454,1.083521606,0.340224925,1.316327128,0.541027997,0.561166362,,,-0.445932069,0.034837576,-0.468233873,0.119363832,-0.266780261,-0.25090837
Stress,154,D,0.0751,19,M,0.967235669,1.049608566,0.182206425,1.050246459,0.185080834,1.049608566,0.193728551,0.65739563,,,-0.739436313,0.021291226,-0.732638552,0.021027366,-0.71280637,-0.182173187
Stress,154,E,0.0691,19,F,1.142298227,1.156569048,0.693505422,1.07728098,0.817653071,1.156569048,0.657672761,0.726063233,,,-0.158950139,0.032328992,-0.087430928,0.063171566,-0.181990145,-0.139025555
Stress,154,F,0.0733,19,F,1.439205582,1.576273704,0.080603096,0.73072202,0.325236424,1.576273704,0.49042638,0.513404236,,,-1.093648276,-0.136247805,-0.487800823,0.197631631,-0.309426177,-0.289540552
Stress,154,G,0.075,19,M,0.559395035,0.880575168,0.311789821,1.13214697,0.313070775,0.880575168,0.432401018,0.687691668,,,-0.506138067,0.053902809,-0.504357472,-0.055233566,-0.364113292,-0.162606237
